ip,protocol,open_port_count,has_web,has_db,has_sensitive,is_udp_exposed,risk_score,risk_label
10.0.1.126,tcp,1,0,0,1,0,4,Low
10.0.1.126,udp,0,0,0,0,0,0,Low
10.0.1.217,tcp,3,1,0,1,0,11,High
10.0.1.217,udp,0,0,0,0,0,0,Low
10.0.1.39,tcp,5,1,1,1,0,19,High
10.0.1.39,udp,0,0,0,0,0,0,Low
synthetic,tcp,20,0,0,1,0,12,High
synthetic,tcp,7,0,0,0,1,13,High
synthetic,tcp,1,0,0,0,0,2,Low
synthetic,tcp,16,0,0,1,0,12,High
synthetic,tcp,14,1,0,0,1,16,High
synthetic,tcp,10,1,0,0,1,16,High
synthetic,tcp,3,0,1,0,1,13,High
synthetic,tcp,11,1,0,1,0,15,High
synthetic,tcp,12,0,1,1,0,16,High
synthetic,tcp,2,0,0,1,0,6,Medium
synthetic,tcp,7,0,1,1,1,19,High
synthetic,tcp,20,1,0,1,1,18,High
synthetic,tcp,6,1,0,0,0,13,High
synthetic,tcp,5,1,1,1,0,19,High
synthetic,tcp,10,0,0,0,1,13,High
synthetic,tcp,12,1,0,0,1,16,High
synthetic,tcp,6,1,1,1,0,19,High
synthetic,tcp,8,0,0,1,1,15,High
synthetic,tcp,18,1,1,0,0,17,High
synthetic,tcp,16,1,0,0,0,13,High
synthetic,tcp,4,0,1,0,1,15,High
synthetic,tcp,12,1,1,0,0,17,High
synthetic,tcp,17,1,1,0,1,20,High
synthetic,tcp,13,0,1,0,1,17,High
synthetic,tcp,16,0,0,1,0,12,High
synthetic,tcp,4,1,0,0,1,14,High
synthetic,tcp,15,0,0,1,1,15,High
synthetic,tcp,7,0,0,0,0,10,Medium
synthetic,tcp,15,0,0,0,1,13,High
synthetic,tcp,17,0,1,1,0,16,High
synthetic,tcp,17,0,1,1,1,19,High
synthetic,tcp,14,1,0,0,0,13,High
synthetic,tcp,2,1,0,0,0,7,Medium
synthetic,tcp,0,0,0,0,0,0,Low
synthetic,tcp,1,1,0,0,1,8,Medium
synthetic,tcp,15,0,0,1,0,12,High
synthetic,tcp,15,1,0,0,0,13,High
synthetic,tcp,13,1,1,1,1,22,High
synthetic,tcp,1,0,0,1,1,7,Medium
synthetic,tcp,3,0,0,0,1,9,Medium
